'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
101,101,'Gunmetal','Chrono 40mm',40,125,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
102,102,'Slate','Chrono',40,300,1,2,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
103,103,'Starlight Black','Blacktop',44,200,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
104,104,'Black Link','Revolver',39,135,1,2,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
105,105,'Joyride','Chrono 40mm',43,145,1,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
106,106,'Rhine','Blacktop',42,200,1,2,3
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
107,107,'Eclipse','ARC Automatic',40,140,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
108,108,'Bourbon Rose','Chrono 40mm',40,100,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
109,109,'Hustle','Blacktop',41,100,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
110,110,'Iron Elm','Chrono 40mm',41,125,3,4,5
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
111,111,'Raith','Classic',41,300,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
112,112,'Joyride','Blacktop',41,135,1,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
113,113,'Joyride','Modern Sport',42,180,1,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
114,114,'Classic Monochrome','Revolver',39,150,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
115,115,'Bourbon Rose','Chrono 40mm',43,110,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
116,116,'Oath','Chrono',39,145,2,3,4
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
117,117,'Iron Elm','Rise',41,180,1,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
118,118,'Calypso','Blacktop',41,150,1,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
119,119,'Bristol','ARC Automatic',39,145,1,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
120,120,'Bristol','Rise',43,300,2,3,4
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
121,121,'Bristol','ARC Automatic',44,155,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
122,122,'Slate','Classic',45,110,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
123,123,'Slate','Rise',45,110,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
124,124,'Raith','Blacktop',40,140,2,3,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
125,125,'Black Sage Grey','Chrono 40mm',41,120,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
126,126,'Joyride','Voyager',39,140,,,
'id','wid','watch_name','series','size','watch_price','strap_id1','strap_id2','strap_id3'
